Year,Alosa spp,Total
1967,400,88700
1968,400,59600
1969,1500,10500
1970,967,131097
1971,717,78466
1972,253,97057
1973,711,92685
1974,781,51061
1975,1068,100397
1976,762,33546
1977,595,31085
1978,1454,82550
1979,618,75126
1980,645,78157
1981,914,48805
1982,756,124641
1983,796,121947
1984,1222,90268
1985,866,134287
1986,1936,102843
1987,2762,95039
1988,1827,34193
1989,2409,41034
1990,2480,5658
1991,3561,28145
1992,3067,7918
1993,5727,7622
1994,5129,10103
1995,2591,10522
1996,2294,3873
1997,1825,3429
1998,2742,6391
1999,2640,13550
2000,2095,14116
2001,2929,30727
2002,3984,31335
2003,2830,20641
2004,3645,18298
2005,3999,23497
2006,4340,20722
2007,5088,22134
2008,5018,23436
2009,4847,21867
2010,4111,19701
2011,3923,24862
2012,3013,12395
2013,2884,13462
2014,3206,13127
2015,3382,21551
2016,1887,23926
2017,1662,20683
2018,1620,14555
