"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,297764.571374209,399814.432375104,69182.8032318475,761867.377875382
"2","b_t",1952,395664.122894988,754684.212242738,69929.470302347,1118463.72314599
"3","b_t",1953,372195.273894179,568867.641906028,51142.7884911663,1099571.01507161
"4","b_t",1954,211991.567259988,359846.44766994,42553.3151354928,595207.665253775
"5","b_t",1955,231663.629050893,378842.507324645,52900.0621197821,578576.181676429
"6","b_t",1956,260375.206015895,388112.387064167,50991.2652956193,710137.378741893
"7","b_t",1957,250106.562192488,359637.417609889,51228.6906707668,712834.384632795
"8","b_t",1958,361566.931093381,520716.499465095,82652.5559435451,1068321.29423737
"9","b_t",1959,329828.298451499,500093.30203732,65072.7328873734,1064923.03275289
"10","b_t",1960,304055.896760037,499053.895506485,52596.3328394485,810028.818327063
"11","b_t",1961,313947.144293734,626003.230312346,54112.2929978362,809674.242942362
"12","b_t",1962,315032.111452299,488778.132509253,62107.5280259789,977999.697169706
"13","b_t",1963,323328.881955154,549484.836737634,67081.0920984448,893067.208240644
"14","b_t",1964,287095.993124809,432342.091408323,61081.8233913659,752922.228296385
"15","b_t",1965,398916.056278758,689256.373694724,65493.6761645684,1377476.28671853
"16","b_t",1966,459259.619781798,827126.101258373,71633.4912168782,1340192.27592373
"17","b_t",1967,326015.113565273,494676.734365341,59721.4145561589,894485.520145679
"18","b_t",1968,208595.599081925,388434.027159625,33867.9011074932,706756.314728269
"19","b_t",1969,199856.633251849,400951.125232636,25158.680456974,595676.660315675
"20","b_t",1970,195174.954462098,329559.830760707,40365.7590944716,457286.40151132
"21","b_t",1971,171909.090862521,234769.762784709,37873.4030472108,495752.997574539
"22","b_t",1972,205584.103174877,285721.499106081,39538.6290384822,643401.457431362
"23","b_t",1973,308753.938116004,606458.908949114,60425.2660352055,768043.180468516
"24","b_t",1974,372776.988101888,663244.804825997,60423.1336939526,1088188.20053335
"25","b_t",1975,403333.156957836,850741.807000179,58966.8549339041,995838.441716761
"26","b_t",1976,161700.794223478,251699.065602009,32935.354165804,465077.253795557
"27","b_t",1977,98638.2282702451,145103.614866676,19036.8341948418,271015.431693691
"28","b_t",1978,70861.3320507195,110063.300162255,13487.4624894864,203673.944566372
"29","b_t",1979,71596.020054432,122541.6792781,12029.8836239935,204316.259278198
"30","b_t",1980,63757.8266998527,99622.8586670015,11986.4943047045,175798.359214966
"31","b_t",1981,72937.2091605484,117692.936563895,13524.0688562807,217280.393695817
"32","b_t",1982,88202.1503683413,149901.269821427,14734.308999198,254314.200356655
"33","b_t",1983,57791.2701234858,79676.0154537222,11370.3845601688,202261.748349308
"34","b_t",1984,52693.2597716551,93418.1441849815,9124.25719853524,171048.223326275
"35","b_t",1985,22480.054257217,41868.6853018071,4723.29029781444,54976.4714117639
"36","b_t",1986,13135.3873600504,20088.4539932553,2465.22134449723,37789.1753627042
"37","b_t",1987,10041.6768621869,15363.4595822706,2270.57073602133,26160.426383009
"38","b_t",1988,12574.2798877964,19639.7354769802,2956.22187371465,29887.4410368068
"39","b_t",1989,11805.1036394131,17088.5893063366,2586.59686603227,31250.4221218187
"40","b_t",1990,6752.21053696534,11403.789618387,1219.0505017505,18632.5383640577
"41","b_t",1991,4152.21916853871,7507.0770997574,812.732108540675,10334.8836228327
"42","b_t",1992,4557.27228062619,7619.94974520506,949.042027736554,11593.4276384656
"43","b_t",1993,4691.41428766322,8056.07893408956,904.76996451051,13128.3043387499
"44","b_t",1994,4388.45711044467,8522.06594211672,805.477101617885,11144.0521563205
"45","b_t",1995,6129.89019121009,11472.9830440386,1258.86363929762,16589.8136058831
"46","b_t",1996,6083.9866074575,8336.36451598257,1276.91935767092,18071.1557829955
"47","b_t",1997,5523.11400174734,8679.47774001101,1108.36409947562,15013.1128868708
"48","b_t",1998,5529.96700224558,9344.33806789961,943.667521737259,15290.3240355904
"49","b_t",1999,3217.1724231562,5065.70995145422,583.108246237997,10028.991551757
"50","b_t",2000,1781.33312936751,2558.11004724085,390.115200002726,4925.66074705339
"51","b_t",2001,2236.36934587331,4124.28463566219,453.814510615379,5830.27299588687
"52","b_t",2002,4109.04873039561,5998.21108933631,841.915389877076,11707.8434427884
"53","b_t",2003,4464.40771724907,6715.58861127177,894.07356651453,12774.9077536328
