"","variable","year","mean","sd","lower","upper"
"1","b_t",1968,95211.9081301956,94516.3908642018,27423.8466635127,245511.844925878
"2","b_t",1969,127102.116401596,128973.284124266,31976.6214608007,326452.024470593
"3","b_t",1970,107264.70984068,118706.546335786,25342.1444647104,279308.088189781
"4","b_t",1971,79843.8988989067,90759.1376170159,20115.5458282407,197479.292730263
"5","b_t",1972,57900.2111711137,62406.7230157947,14134.1328958482,150363.931114778
"6","b_t",1973,86559.6286527899,96569.2272113632,21059.9529834866,220611.096053505
"7","b_t",1974,92606.3495292492,99071.5158439021,21878.4188972612,240740.720504115
"8","b_t",1975,97790.5032579833,105678.634329932,23735.2194591183,254985.620036723
"9","b_t",1976,82877.2106283937,88095.0579108026,20073.6436668073,218723.300148572
"10","b_t",1977,82411.7235907852,89933.9284132897,19441.8604226488,216205.395337522
"11","b_t",1978,103399.913506548,112304.976920591,23617.7916069089,269511.58937945
"12","b_t",1979,74901.7270998781,81822.2968810424,17456.435105736,193689.57093173
"13","b_t",1980,68885.141842153,77893.3977405307,16488.4048930093,175145.475845581
"14","b_t",1981,72284.3404673016,77097.017627894,17849.1373093155,187022.734102916
"15","b_t",1982,65979.838233926,73357.3050844686,16046.0909803143,167411.87789374
"16","b_t",1983,62631.7368798442,66189.6625794849,15247.5819996861,159145.455689518
"17","b_t",1984,73313.7673721927,81261.1851310293,17840.7849653562,194675.934206292
"18","b_t",1985,71347.4467894784,75799.8816715601,17374.9572805282,184557.368651904
"19","b_t",1986,100089.888412782,105730.837438094,24270.7382240606,257861.596187575
"20","b_t",1987,118688.914713842,128892.980745322,28428.6234979727,310111.334712636
"21","b_t",1988,99702.4568935531,107608.855179659,24462.9858639686,254529.961081712
"22","b_t",1989,117896.882782108,137855.282149124,29319.0499500712,303936.556192522
"23","b_t",1990,123206.131134213,127614.461997605,30820.0077973646,326020.802323192
"24","b_t",1991,143029.571689488,153382.341835612,35644.3554006268,369257.370166788
"25","b_t",1992,142704.029314293,143273.47022291,36718.9016391457,368905.400818587
"26","b_t",1993,181368.782967122,189278.574069975,47414.7362040447,471242.298302799
"27","b_t",1994,186843.42234386,201209.759963905,44542.6859091423,489857.850457659
"28","b_t",1995,124938.240064567,135791.073739467,31092.5360810461,322137.90447926
"29","b_t",1996,107188.39521463,121845.302014531,25580.2840910426,279078.335510264
"30","b_t",1997,106428.764076523,116423.570605236,25888.6170406693,275181.05437709
"31","b_t",1998,120996.553148481,139305.431793871,28737.1446060683,324256.565823083
"32","b_t",1999,123014.132668081,137012.023154314,30477.1172758987,312659.230296014
"33","b_t",2000,120823.629632252,133160.918460738,29863.3633010851,311356.71143543
"34","b_t",2001,138873.638742761,151460.341352444,34317.3257778369,382740.755813172
"35","b_t",2002,164066.037987717,170779.552584084,41342.92431567,422290.516866183
"36","b_t",2003,142047.740536278,159723.339650443,35534.8885870342,359182.30708333
"37","b_t",2004,161332.410177633,183846.629137182,40713.3556647499,413246.70850085
"38","b_t",2005,167511.577141426,177293.556587402,42499.125593014,429394.200318542
"39","b_t",2006,172063.69670298,177926.758365031,44082.8204919494,447969.939424713
"40","b_t",2007,168919.033987946,190420.954138501,41469.2188646579,430660.358117047
"41","b_t",2008,174263.801468352,180848.360765167,45178.1713638846,450286.472926649
