"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,414118.020090106,7392.3926879022,402129.406433253,424952.597627547
"2","b_t",1952,820008.728303713,26532.6200377054,773093.858107435,857339.128772202
"3","b_t",1953,358958.808575886,12062.2501986687,340565.403601032,379618.099805533
"4","b_t",1954,498198.840083992,10555.3590444813,480113.264107935,513976.768606335
"5","b_t",1955,351372.309370423,5786.98341904826,341056.894664355,360858.259307322
"6","b_t",1956,1041292.55274461,19383.4517827891,1008454.0320741,1073198.7109507
"7","b_t",1957,28233.0891952285,2655.3099184074,24648.1581510743,32995.5568906879
"8","b_t",1958,25173.0088386997,2255.66898536713,21970.7538816436,29359.1629013012
"9","b_t",1959,24036.3681144142,2659.9574669067,20107.5907985435,28486.5513510848
"10","b_t",1960,20683.2906833073,3228.30316971322,15904.4254935736,25694.522298263
"11","b_t",1961,48723.0423760951,11610.0515780057,32302.4490789303,67741.0738533663
"12","b_t",1962,82227.6607525219,20204.4891264432,53451.2224504964,114991.11939391
"13","b_t",1963,163073.605908244,39324.7296982428,107483.244137674,227267.334039372
"14","b_t",1964,321175.701102368,69898.1372760073,217904.459424532,431455.953268098
"15","b_t",1965,552930.371793642,79893.8199257277,413987.30640658,667587.544968667
"16","b_t",1966,400910.314367503,15247.6153218293,377156.602251793,424452.220466599
"17","b_t",1967,191543.89480558,8062.72888365551,177051.954816432,203664.619779011
"18","b_t",1968,252960.248572979,33805.1097764506,215210.360493933,307210.30774711
"19","b_t",1969,272974.738821647,33855.125716712,232645.92122691,324186.950281003
"20","b_t",1970,719691.394714451,57022.0520123741,645354.338321659,807610.000340456
"21","b_t",1971,287748.924961554,28644.5946750695,248121.835319022,331724.607039866
"22","b_t",1972,582632.610993755,50361.2475627112,514562.747011039,659524.514325983
"23","b_t",1973,451029.473273477,11130.9260653109,434993.901398504,471147.330401224
"24","b_t",1974,325822.143880129,12795.7292024854,300627.173551569,343258.788725513
"25","b_t",1975,315611.416421121,9777.74185896645,293375.861694106,327273.531522423
"26","b_t",1976,305379.044124201,10993.2348791765,281222.261252672,320953.516027575
"27","b_t",1977,546721.664564917,24084.0829744962,487542.997166702,570627.294604412
"28","b_t",1978,447572.62745253,16348.9542190555,427718.018854393,478335.386387571
"29","b_t",1979,333387.656219319,8166.70922230117,321555.409880448,348667.223719305
"30","b_t",1980,197298.279861728,5851.84639725438,190222.947737586,208267.037636285
"31","b_t",1981,203349.7294241,8303.12735453877,192719.588502819,219785.723041724
"32","b_t",1982,181613.868371457,8035.53623529525,168103.678524693,195439.289231494
"33","b_t",1983,457365.462076967,34960.7227400476,398892.584099657,508878.423609212
"34","b_t",1984,289726.775608692,10610.7179190502,272070.832105219,307236.582767572
"35","b_t",1985,429795.193383819,15408.765925459,407223.311791884,457499.315651477
"36","b_t",1986,530517.090821916,22856.0400749734,492610.221386742,565799.809815393
"37","b_t",1987,133075.841619093,3680.65985421384,128415.700853726,140074.348865549
"38","b_t",1988,48237.5011223421,802.369568379499,46778.6221095364,49361.4219768793
"39","b_t",1989,72075.6792760888,1310.35618639702,69856.6659348194,73924.3828847595
"40","b_t",1990,33204.2670963862,741.090082535662,32146.5643994164,34623.9504569783
"41","b_t",1991,48005.5581716262,1117.14066050992,46620.404791497,49982.7738077603
"42","b_t",1992,14547.0359731811,186.579372352753,14234.5908220241,14805.6203822688
"43","b_t",1993,8394.42343899029,135.625618518293,8193.48370467822,8603.67861463256
"44","b_t",1994,12414.3680742715,168.420081849659,12105.2319869541,12651.6947404409
"45","b_t",1995,13623.8062753932,156.113133481514,13401.5667086982,13925.3372853613
"46","b_t",1996,5294.32247444104,111.4002091651,5157.05698592099,5551.89657422355
"47","b_t",1997,5487.4023664423,149.102465227287,5298.94434352299,5828.02958959144
"48","b_t",1998,12515.8744891762,152.947307774822,12294.1913544102,12775.3276174993
"49","b_t",1999,24723.482257632,310.509099631004,24192.6674541073,25197.4686682195
"50","b_t",2000,48077.6918364148,1099.78291984229,46421.2862721087,49882.2789838422
"51","b_t",2001,64308.1369586162,1753.88504874446,61541.6382098967,67127.0541699985
"52","b_t",2002,105678.081985044,3496.90431817282,99659.0051538651,111648.830301005
"53","b_t",2003,49983.7836446552,1291.92736421546,48122.4237442405,52152.2928494751
"54","b_t",2004,46022.179759532,1200.44510472403,44267.1734982382,48130.8656224065
"55","b_t",2005,50782.0271014295,1257.04768962477,48972.256023336,52882.895806241
"56","b_t",2006,46206.7078914597,1370.67423213415,44422.9957228168,48733.2487077928
"57","b_t",2007,27459.1234338477,946.813004146613,26258.7341146304,29194.7916395376
"58","b_t",2008,43458.0725656083,2089.16117573294,40647.462448771,47134.7016041873
"59","b_t",2009,36962.8695474825,2031.51249343753,34271.992807878,40563.7551256362
"60","b_t",2010,57310.4714769679,3940.70175306,52486.5433598488,64275.9347152788
"61","b_t",2011,45030.5826995016,3493.76377150524,40577.4243220039,51438.538039652
"62","b_t",2012,28235.5820875878,2718.98633696689,24792.1269056654,33119.9488544281
"63","b_t",2013,42935.1253831661,5054.05206967944,36104.4242203351,51956.2730625007
"64","b_t",2014,28544.6226665896,3725.04972742761,23602.2082653632,35140.9023135921
"65","b_t",2015,63319.524710173,10414.7036151111,47639.0789049413,81000.2540447353
"66","b_t",2016,89764.1739678967,16455.5109317903,65095.7211395992,117227.591501835
"67","b_t",2017,137328.089309863,26235.1448702877,96318.7672061204,180902.572372619
"68","b_t",2018,166096.169248502,29292.7082496882,118864.178818216,213974.215827134
"69","bmsy",1951,261396.333504314,4651.87031316538,253899.986158377,269164.114166144
"70","ck",1951,0.18827945849587,0.00334723197182459,0.182788111169516,0.193777088158557
"71","ck",1952,0.176416321883325,0.00313632914433158,0.171270974083632,0.181567556181087
"72","ck",1953,0.191914935844875,0.00341186348347567,0.186317556405512,0.197518718925847
"73","ck",1954,0.14905457130923,0.00264989197769447,0.144707254675867,0.153406861458858
"74","ck",1955,0.0794064789388068,0.0014116882808,0.0770905143651921,0.0817250930750014
"75","ck",1956,0.0233435913988781,0.000415002337970122,0.0226627536206107,0.0240252080846992
"76","ck",1957,0.00478352282763896,8.50414626987955e-05,0.0046440068894694,0.00492319837801213
"77","ck",1958,0.00535754556695564,9.52464382226509e-05,0.00520128771620573,0.00551398218337359
"78","ck",1959,0.00440084100142784,7.82381456828918e-05,0.00427248633831185,0.00452934250777116
"79","ck",1960,0.00688827287180011,0.000122459706286265,0.00668736992083594,0.00708940566433747
"80","ck",1961,0.0107150911339113,0.000190492876445302,0.0104025754324115,0.0110279643667472
"81","ck",1962,0.0166466594401836,0.000295944290191808,0.0161611439753535,0.0171327303554822
"82","ck",1963,0.0461131600584396,0.000819799700416388,0.044768226414485,0.0474596323640369
"83","ck",1964,0.0947137519872514,0.00168382096143615,0.0919513364114942,0.0974793278846402
"84","ck",1965,0.145036412134013,0.00257845714902748,0.140806288888712,0.149271374821328
"85","ck",1966,0.173928890012953,0.0030921075837282,0.168856090501107,0.179007493024521
"86","ck",1967,0.163405139792147,0.00290501636579085,0.158639275344275,0.168176456592894
"87","ck",1968,0.111169070514329,0.00197636359312001,0.107926720111269,0.114415130305002
"88","ck",1969,0.0153072730484447,0.000272132680636145,0.0148608220463021,0.0157542348096388
"89","ck",1970,0.246117989709418,0.00437548530560827,0.238939727271468,0.253304464386778
"90","ck",1971,0.146647502622362,0.00260709911366443,0.142370390409086,0.150929508035042
"91","ck",1972,0.183304594755125,0.00325878885061784,0.177958344004467,0.188656961845425
"92","ck",1973,0.172822939535203,0.00307244599755224,0.167782396108262,0.177869249559525
"93","ck",1974,0.090842925315126,0.00161500540982028,0.0881934060365355,0.0934954757571528
"94","ck",1975,0.18289703861021,0.0032515433179959,0.177562674617485,0.188237505343618
"95","ck",1976,0.0605938403622683,0.00107723721629818,0.0588265640702868,0.0623631384939553
"96","ck",1977,0.0569832373319664,0.00101304792025313,0.0553212676701153,0.0586471083582317
"97","ck",1978,0.154532661651442,0.00274728146077713,0.150025571365687,0.159044908241357
"98","ck",1979,0.141448770013284,0.00251467605200338,0.13732328372161,0.145578976037819
"99","ck",1980,0.147366944455639,0.00261988934965433,0.143068849045262,0.151669957071095
"100","ck",1981,0.0907300341763937,0.00161299843130059,0.088083807473944,0.0933792882754317
"101","ck",1982,0.23452081696609,0.00416931078344131,0.227680796968638,0.241368662239125
"102","ck",1983,0.230303663241243,0.00409433822992605,0.223586640494882,0.23702837054907
"103","ck",1984,0.168730157403875,0.00299968452206715,0.163808983813632,0.173656961027297
"104","ck",1985,0.254774252618313,0.00452937633650801,0.247343522138652,0.262213484171628
"105","ck",1986,0.19292138904781,0.0034297562072275,0.187294655455057,0.19855455986458
"106","ck",1987,0.176318738017641,0.00313459429849252,0.171176236343086,0.181467122934176
"107","ck",1988,0.0613381565142489,0.00109046966789411,0.0595491715422882,0.063129188161574
"108","ck",1989,0.0730979690337165,0.00129953559979283,0.0709659980793598,0.075232379054079
"109","ck",1990,0.00588373307799592,0.000104600999119518,0.00571212847404736,0.00605553400495492
"110","ck",1991,0.046987588031332,0.000835345279797728,0.04561715087388,0.0483595930275376
"111","ck",1992,0.0090638190538103,0.000161136563521678,0.00879946425416662,0.00932847628665738
"112","ck",1993,0.00346135711807955,6.15360024088484e-05,0.00336040338522006,0.00356242634632958
"113","ck",1994,0.00945032769828353,0.00016800791370774,0.00917470001083575,0.00972627071560076
"114","ck",1995,0.0149341582678888,0.000265499446545639,0.0144985895089235,0.0153702253361539
"115","ck",1996,0.00277061642176849,4.92560151951423e-05,0.00268980879038068,0.00285151650054463
"116","ck",1997,0.0029122086974666,5.17732424910267e-05,0.00282727139430897,0.00299724317253378
"117","ck",1998,0.00668927832217032,0.000118921981437996,0.00649417923423401,0.00688460061181216
"118","ck",1999,0.0207834499815258,0.000369488147133726,0.0201772811333667,0.0213903123127871
"119","ck",2000,0.0229723900274534,0.000408403120464695,0.0223023786859879,0.0236431678905655
"120","ck",2001,0.053148765433331,0.000944878683753777,0.0515986317475166,0.0547006725384172
"121","ck",2002,0.0521193513208231,0.000926577760980996,0.0505992414649028,0.053641200247469
"122","ck",2003,0.0339496182123192,0.000603556269065891,0.0329594456959422,0.0349409235284277
"123","ck",2004,0.0278171419472861,0.000494533113886035,0.0270058288636425,0.0286293832078161
"124","ck",2005,0.0370684750959398,0.000659003302745506,0.0359873381878763,0.0381508488708916
"125","ck",2006,0.0312325772462203,0.000555252718252975,0.0303216497827236,0.0321445468497168
"126","ck",2007,0.0324801199996686,0.000577431531724821,0.0315328067794972,0.0334285169867024
"127","ck",2008,0.0350306943713656,0.000622775639635819,0.0340089912529623,0.0360535663618584
"128","ck",2009,0.0322792120409077,0.000573859790291472,0.0313377584901395,0.0332217426548259
"129","ck",2010,0.0295602576656777,0.000525522222893477,0.0286981049741651,0.0304233966967638
"130","ck",2011,0.0397721221981214,0.000707068737462865,0.0386121308818044,0.0409334405941441
"131","ck",2012,0.0177755708275064,0.000316014075388724,0.0172571296012683,0.0182946051726931
"132","ck",2013,0.0200276533747588,0.000356051596027317,0.0194435280448305,0.0206124469690612
"133","ck",2014,0.0188011581217522,0.000334246964991346,0.0182528046783705,0.0193501389049389
